time,I,R,D
11-Mar-2020,1237,8,36
12-Mar-2020,1611,12,40
13-Mar-2020,2120,12,47
14-Mar-2020,2661,12,54
15-Mar-2020,3585,21,73
16-Mar-2020,4523,21,100
17-Mar-2020,5951,24,123
18-Mar-2020,8455,149,154
19-Mar-2020,13707,266,210
20-Mar-2020,19067,369,277
21-Mar-2020,26009,519,350
22-Mar-2020,34098,668,472
23-Mar-2020,43369,1099,601
24-Mar-2020,53463,1403,806
25-Mar-2020,66483,2110,1065
26-Mar-2020,82434,2810,1324
27-Mar-2020,100017,3615,1729
28-Mar-2020,118517,4688,2208
29-Mar-2020,135397,5525,2520
30-Mar-2020,155523,6693,3008
31-Mar-2020,178962,8258,3762
01-Apr-2020,202774,10043,4723
02-Apr-2020,229306,12039,5933
03-Apr-2020,258190,14480,7199
04-Apr-2020,288610,16874,8511
05-Apr-2020,310931,19180,9674
06-Apr-2020,338469,21490,11001
07-Apr-2020,365147,24565,12921
08-Apr-2020,392628,28197,14811
09-Apr-2020,420882,32441,16706
10-Apr-2020,448091,37426,18751
11-Apr-2020,473289,40476,20611
12-Apr-2020,497878,41874,22142
13-Apr-2020,520374,44261,23674
14-Apr-2020,538806,49975,26076
